time,ip,location,app_version,machine_name,os_version
2025-05-18 17:32:30,176.93.243.32,"FI, Porvoo",1.3,DESKTOP-A8O1I7V,Windows 10 Version 22H2
2025-05-19 06:29:16,128.214.129.86,"FI, Helsinki",1.3,DESKTOP-SESQHHN,Windows 10 Version 22H2
2025-05-20 09:58:42,194.142.111.196,"FI, Helsinki",1.3,Surface-Laptop-3,Windows 11 Version 24H2
2025-05-26 11:57:54,87.95.61.123,"FI, Helsinki",1.3,DESKTOP-A8O1I7V,Windows 10 Version 22H2
2025-05-26 12:08:03,87.95.61.123,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-05-26 12:16:27,87.95.61.123,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-05-26 12:19:09,87.95.61.123,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-05-26 12:22:35,87.95.61.123,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-05-26 13:15:01,130.234.26.164,"FI, Jyväskylä",1.4,Unknown,Windows 10 Version 22H2
2025-05-26 13:16:04,130.234.230.3,"FI, Jyväskylä",1.4,Unknown,Windows 11 Version 24H2
2025-05-27 08:08:09,130.234.240.169,"FI, Jyväskylä",1.4,Unknown,Windows 11 Version 24H2
2025-05-27 12:42:05,130.234.230.3,"FI, Jyväskylä",1.4,Unknown,Windows 11 Version 24H2
2025-05-27 12:42:17,130.234.230.3,"FI, Jyväskylä",1.4,Unknown,Windows 11 Version 24H2
2025-05-27 13:20:59,130.234.230.3,"FI, Jyväskylä",1.4,Unknown,Windows 11 Version 24H2
2025-05-27 14:12:33,130.234.26.164,"FI, Jyväskylä",1.4,Unknown,Windows 10 Version 22H2
2025-06-02 10:30:02,,Unknown,1.3,DESKTOP-SESQHHN,Windows 10 Version 22H2
2025-06-06 05:17:38,,Unknown,1.3,DESKTOP-SESQHHN,Windows 10 Version 22H2
2025-06-09 12:02:32,128.214.129.16,"FI, Helsinki",1.3,DESKTOP-SESQHHN,Windows 10 Version 22H2
2025-06-09 12:13:33,128.214.129.16,"FI, Helsinki",1.3,DESKTOP-SESQHHN,Windows 10 Version 22H2
2025-06-09 12:24:57,194.142.111.196,"FI, Helsinki",1.3,Surface-Laptop-3,Windows 11 Version 24H2
2025-06-09 12:27:30,194.142.111.196,"FI, Helsinki",1.4,Unknown,Windows 11 Version 24H2
2025-06-09 12:33:24,194.142.111.196,"FI, Helsinki",1.4,Unknown,Windows 11 Version 24H2
2025-06-09 12:35:52,194.142.111.196,"FI, Helsinki",1.4,Unknown,Windows 11 Version 24H2
2025-06-09 12:37:36,194.142.111.196,"FI, Helsinki",1.4,Unknown,Windows 11 Version 24H2
2025-06-09 12:38:21,194.142.111.196,"FI, Helsinki",1.4,Unknown,Windows 11 Version 24H2
2025-06-09 12:50:25,194.142.111.196,"FI, Helsinki",1.4,Unknown,Windows 11 Version 24H2
2025-06-09 13:09:35,194.142.111.196,"FI, Helsinki",1.4,Unknown,Windows 11 Version 24H2
2025-06-09 13:14:30,194.142.111.196,"FI, Helsinki",1.4,Unknown,Windows 11 Version 24H2
2025-06-12 07:42:54,130.234.230.242,"FI, Jyväskylä",1.4,Unknown,Windows 11 Version 24H2
2025-06-12 09:39:29,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:23:05,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:23:09,130.234.230.242,"FI, Jyväskylä",1.4,Unknown,Windows 11 Version 24H2
2025-06-12 10:23:24,130.234.230.242,"FI, Jyväskylä",1.4,Unknown,Windows 11 Version 24H2
2025-06-12 10:23:39,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:23:47,130.234.230.242,"FI, Jyväskylä",1.4,Unknown,Windows 11 Version 24H2
2025-06-12 10:44:17,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:47:10,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:47:47,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:48:20,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:51:32,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:52:19,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:53:42,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:53:59,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:55:46,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 10:56:06,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 11:46:23,87.95.60.58,"FI, Helsinki",1.5,Unknown,Windows 10 Version 22H2
2025-06-12 11:51:42,87.95.60.58,"FI, Helsinki",1.5,Unknown,Windows 10 Version 22H2
2025-06-12 12:28:12,87.95.60.58,"FI, Helsinki",1.5,Unknown,Windows 10 Version 22H2
2025-06-12 12:41:38,87.95.60.58,"FI, Helsinki",1.5,Unknown,Windows 10 Version 22H2
2025-06-12 12:44:31,87.95.60.58,"FI, Helsinki",1.5,Unknown,Windows 10 Version 22H2
2025-06-12 12:44:55,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 12:47:14,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 13:18:52,87.95.60.58,"FI, Helsinki",1.4,Unknown,Windows 10 Version 22H2
2025-06-12 13:22:36,87.95.60.58,"FI, Helsinki",1.5,Unknown,Windows 10 Version 22H2
2025-06-12 13:24:36,87.95.60.58,"FI, Helsinki",1.5,Unknown,Windows 10 Version 22H2
2025-06-12 13:31:27,87.95.60.58,"FI, Helsinki",1.5,Unknown,Windows 10 Version 22H2
2025-06-12 13:31:44,87.95.60.58,"FI, Helsinki",1.5,Unknown,Windows 10 Version 22H2
